Date,"Electric power sector net generation from biomass, United States, Monthly (billion kilowatthours)","Electric power sector net generation from coal, United States, Monthly (billion kilowatthours)","Net energy for electricity load, United States, Monthly (billion kilowatthours)","Electric power sector net generation from geothermal, United States, Monthly (billion kilowatthours)","Electric power sector net generation from pumped storage hydropower, United States, Monthly (billion kilowatthours)","Electric power sector net generation from conventional hydropower, United States, Monthly (billion kilowatthours)","Electric power sector net generation from natural gas, United States, Monthly (billion kilowatthours)","Electric power sector net generation from nuclear, United States, Monthly (billion kilowatthours)","Electric power sector net generation from other nonrenewable fuels, United States, Monthly (billion kilowatthours)","Electric power sector net generation from other gases, United States, Monthly (billion kilowatthours)","Electric power sector net generation from petroleum, United States, Monthly (billion kilowatthours)","Electric power sector net generation from renewable energy (all types), United States, Monthly (billion kilowatthours)","Electric power sector net generation from utility-scale solar, United States, Monthly (billion kilowatthours)","Total electric power sector net generation by all energy sources, United States, Monthly (billion kilowatthours)","Electric power sector net generation from wind, United States, Monthly (billion kilowatthours)","Retail Price of Electricity for All Sectors, U.S. Total, Monthly (cents per kilowatt hour)","Electric Power Sector Geothermal Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Conventional Hydroelectric Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Waste Biomass Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Large-Scale Solar Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Wind Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Wood Biomass Net Summer Capacity, Monthly (megawatts)"
12/1/2020,1.862813,70.54828,326.5772,1.512993,-0.4967843,23.82805,116.4394,72.54646,0.6400744,0.4282274,1.589645,64.88192,5.012265,326.5772,32.6658,10.4051,2514,79790,4066.7,49180.6,120971.8,2888.8
11/1/2020,1.638054,55.38093,292.8734,1.431412,-0.3362503,20.8467,111.2597,66.10233,0.6059942,0.3174382,1.562592,57.98058,5.924216,292.8734,28.14019,10.57496,2489,79757.5,4064.7,45311.7,113336.6,2846.8
10/1/2020,2.264039,57.85693,306.356,1.337518,-0.4427587,19.6324,126.3004,61.42273,0.6135748,0.1565619,1.32614,59.12239,7.522503,306.356,28.36593,10.57964,2489,79757.5,4065.8,44607.8,112330.4,2846.8
9/1/2020,1.954046,63.53742,318.2363,1.379625,-0.6201889,18.59246,136.5059,63.85781,0.3278628,0.3457144,1.804214,52.47764,8.97682,318.2363,21.5747,10.81302,2489,79695,4065,43774.8,110940.4,2846.8
8/1/2020,2.114324,93.90338,388.0824,1.376648,-0.7527236,21.51756,162.1831,70.26038,0.4904781,0.413946,1.889336,59.6945,9.742568,388.0824,24.9434,11.12406,2399.1,79702.5,4065,43176.8,109319.9,2846.8
7/1/2020,2.743599,95.48453,392.1185,1.423992,-0.6045021,25.5249,159.4306,70.31618,0.6028487,0.3944831,1.54288,64.95148,10.50513,392.1185,24.75386,11.09618,2399.1,79691.3,4065,43106.4,109096.5,2846.8
6/1/2020,2.520864,74.37626,340.0469,1.2953,-0.3678594,28.30161,129.3603,66.55843,0.5893815,0.3640818,1.355302,67.81103,10.05315,340.0469,25.64012,10.85273,2399.1,79580.3,4065,42556.4,108853.7,2846.8
5/1/2020,2.594504,67.14382,314.0588,1.343222,-0.340884,27.88508,111.9604,62.46475,0.6007649,0.3280137,1.51786,70.38403,8.681247,314.0588,29.87998,10.45436,2399.1,79577.6,4129,39795.6,108653.7,2846.8
4/1/2020,2.127727,53.07828,281.0278,1.251624,-0.1525253,24.75123,97.31685,56.65998,0.5313238,0.3921896,1.196753,72.00496,7.967502,281.0278,35.90687,10.33851,2399.1,79569.6,4129,39434.1,108403.7,2846.8
3/1/2020,2.206042,76.74843,307.8979,1.459827,-0.4606111,24.2733,99.9102,65.6114,0.5603849,0.3847381,1.144015,63.99934,7.076837,307.8979,28.98333,10.3613,2399.1,79568.2,4131,38918.9,107844.5,2846.8
2/1/2020,2.206626,72.65324,309.7294,1.364561,-0.3456888,25.80347,106.1208,66.38378,0.5448342,0.3264116,1.910601,62.13534,4.961353,309.7294,27.79933,10.41183,2399.1,79440.4,4131,38436.9,107321.5,2846.8
1/1/2020,2.444041,92.77205,341.0772,1.443169,-0.3224924,25.79234,109.6208,73.30492,0.6279616,0.3848718,1.957439,62.73165,4.413539,341.0772,28.63856,10.30594,2399.1,79394.6,4131,38400.9,107002.7,2846.8
12/1/2019,1.888586,78.53233,327.8104,1.529725,-0.4967296,22.85965,116.6115,73.0561,0.6512985,0.3835854,1.569727,57.50259,3.777919,327.8104,27.44671,10.25708,2399.1,79410.5,4131,37320.3,106241.3,2846.8
11/1/2019,1.764602,63.43129,292.9156,1.550896,-0.3450803,20.78818,107.3205,65.11869,0.6160774,0.2960468,1.571643,54.9064,4.656701,292.9156,26.14602,10.43416,2399.1,79490.3,4103.5,35198.9,100822.5,2846.8
10/1/2019,2.396545,68.32957,306.8967,1.389165,-0.4739877,20.7227,120.1442,62.17264,0.6086715,0.1581581,1.458057,54.49938,5.989832,306.8967,24.00114,10.46704,2399.1,79477.3,4101.9,34873,100406.2,2846.8
9/1/2019,2.100022,88.32459,343.5172,1.304915,-0.6466165,20.92766,135.2247,65.84727,0.3256327,0.3554151,1.880829,52.20536,7.066358,343.5172,20.80641,10.69525,2399.1,79433.8,4101.9,34494,100129.8,2846.8
8/1/2019,2.102103,105.5801,396.4376,1.373647,-0.7994424,20.91485,164.2253,71.4981,0.4908289,0.4204942,1.901299,53.12096,7.578059,396.4376,21.1523,10.98163,2399.1,79482.7,4115.4,33714.1,99042.6,2936.1
7/1/2019,2.659965821,100.4029571,396.9110088,1.42607739,-0.622347,22.80860869,164.7890781,72.198595,0.618223898,0.404280828,1.595532032,57.52468877,8.182785723,396.9110087,22.44725115,11.06,2399.1,79586.4,4117.2,33269.9,98269,2820.1
6/1/2019,2.500330287,78.02479259,338.7388833,1.370650885,-0.385296,26.22733919,128.3338901,68.804879,0.599222884,0.344190481,1.405163149,61.61204118,8.139908936,338.7388834,23.37381188,10.8,2399.1,79587,4114.2,33039.3,97993.4,2820.1
5/1/2019,2.593267013,71.44675506,315.3707478,1.344685459,-0.368281,29.9390383,107.1035464,67.123546,0.616485851,0.337731683,1.562439093,67.54852465,7.226160077,315.3707478,26.44537381,10.43,2399.1,79576.9,4131.7,32729.5,96749.3,2820.1
4/1/2019,2.207579923,59.56569945,282.694696,1.287762236,-0.103221,25.31588609,94.77514744,60.580927,0.537095883,0.336852348,1.12200372,65.88019109,6.885311053,282.6946959,30.18365178,10.31,2348,79606.4,4133.1,32668.3,96519.8,2835.1
3/1/2019,2.414065048,77.88250424,310.0303571,1.435482215,-0.408942,25.28739358,104.0915132,65.079691,0.56045913,0.376742339,1.344884267,61.10350486,5.958705715,310.030357,26.0078583,10.38,2391.2,79471.4,4133.1,32581.3,96441.8,2835.1
2/1/2019,2.395563127,79.42480718,300.928388,1.298224142,-0.388719,21.93190374,102.3348739,64.714894,0.531752519,0.373143547,1.416079281,52.52155667,3.874592036,300.9283881,23.02127363,10.43,2391.2,79500.4,4167.9,32364.5,95662.2,2918.1
1/1/2019,2.697260593,100.3642522,343.6791499,1.413933292,-0.323009,24.4284253,109.6306195,73.700844,0.615472999,0.377035852,2.020561678,57.29337264,3.616491777,343.6791499,25.13726168,10.29,2391.2,79577.9,4167.9,32165.7,95196.2,2918.1
12/1/2018,2.562532103,96.17249896,323.4979608,1.501897966,-0.522071,23.57562965,98.00115968,71.657288,0.632813155,0.341674037,1.61934871,55.59524917,3.156087018,323.4979607,24.79910243,10.27,2394.9,79582.8,4167.9,31510.2,94273.4,2965.2
11/1/2018,2.487226581,92.40693312,309.0381303,1.397307186,-0.342707,22.03240194,98.29574915,63.947652,0.611200396,0.29846702,1.554880385,52.26595521,3.918226392,309.0381303,22.43079311,10.43,2392.2,79586.5,4167.9,30085.4,90389.8,2965.2
10/1/2018,2.520732265,86.88055035,312.6181,1.3467776,-0.492202,18.65238012,115.7906691,59.396905,0.610426026,0.258896921,1.3658668,48.8069878,5.16540256,312.6181,21.12169526,10.46,2392.2,79464.5,4170.3,29553.5,90138.5,3020.2
9/1/2018,2.437594845,96.1205424,343.5483828,1.387974561,-0.603113,18.54730593,134.1472227,64.724753,0.361060245,0.318692417,1.756778193,46.72244678,6.392994313,343.5483827,17.95657714,10.7,2392.2,79464.5,4171.4,29384.7,89801.2,3020.2
8/1/2018,2.69606906,114.5537526,393.7237702,1.428735731,-0.747235,21.27700219,153.1269152,72.282467,0.500111743,0.392788996,1.803188499,51.81178125,6.899564441,393.7237702,19.51040983,11.02,2392.2,79464.5,4171.4,29071.7,89331.2,3020.2
7/1/2018,2.746065593,114.8106159,398.4726044,1.435755583,-0.644469,23.8824236,158.1577391,72.456009,0.650101978,0.36300973,1.759580158,50.92001747,6.860705378,398.4726043,15.99506731,11.03,2392.2,79464.5,4175,28992.8,89249.2,3038.7
6/1/2018,2.731991169,100.8729988,359.1052608,1.3691055,-0.433324,27.81760862,122.3240625,69.687556,0.641598642,0.330153603,1.698610975,63.98360424,7.712086137,359.1052607,24.35281281,10.79,2392.2,79466.7,4182.1,28854.4,89092.3,3038.7
5/1/2018,2.596618417,84.66001487,326.7098107,1.434314982,-0.390083,30.2832258,107.9601067,67.320248,0.579164389,0.359986053,1.333095413,64.88727817,6.995399234,326.7098106,23.57771974,10.41,2392.2,79466.7,4207.7,28692.1,88943.3,3038.7
4/1/2018,2.363760773,72.7693463,289.2278184,1.245939538,-0.376898,27.34586416,91.45597063,59.133155,0.576629975,0.333883412,1.441949029,63.89378199,6.183496957,289.2278183,26.75472056,10.23,2392.2,79505.7,4209.7,28265,88943.3,3038.7
3/1/2018,2.754011441,79.91033046,308.1226387,1.414088769,-0.489962,25.80571267,96.97473157,67.032656,0.618921797,0.345943984,1.352066887,62.37795001,5.151089846,308.1226387,27.25304728,10.4,2392.2,79505.7,4209.7,27996.6,88643.3,3038.7
2/1/2018,2.655190253,81.22641169,293.7202638,1.325707339,-0.315144,25.3988631,88.16928514,64.79003,0.589143061,0.325874166,1.412696711,57.52196696,4.072163221,293.7202637,24.07004305,10.48,2403.5,79505.7,4209.7,27472.1,88643.3,3038.7
1/1/2018,2.8831708,118.1509143,360.4680326,1.407407734,-0.547331,25.46159361,101.254137,74.64904,0.622091602,0.328682095,6.049697832,59.96080077,3.374642049,360.4680326,26.83398658,10.47,2403.5,79493.7,4232.1,27372.9,88418.8,3038.7
12/1/2017,2.849888616,105.8603457,339.5477607,1.570927818,-0.655925,22.25498858,102.4567889,73.699572,0.635871125,0.383356612,2.582004886,54.58574652,3.357516499,339.5477608,24.55242501,10.17,2485.6,79431.6,4234.1,26432.1,87488.4,3079.3
11/1/2017,2.658210271,90.34725995,297.5853696,1.289257014,-0.478107,20.42085173,86.81918247,66.617853,0.584720246,0.352291227,1.542535607,51.79963406,3.3723609,297.5853696,24.05895414,10.28,2448.6,79434.3,4240.8,25020.3,85322.1,3084.8
10/1/2017,2.519247377,89.11428066,307.7602962,1.229009276,-0.462982,18.17077973,98.82569133,65.994785,0.562034129,0.326487794,1.427025609,51.97297364,4.770995076,307.7602962,25.28294218,10.4,2448.6,79437.3,4240.8,24466.8,84358.2,3084.8
9/1/2017,2.509316067,97.56037914,323.4003135,1.29696128,-0.606081,18.97778278,110.2191367,68.097918,0.557642772,0.345600827,1.542843639,45.68287333,5.058994662,323.4003134,17.83981854,10.86,2448.6,79437.3,4240.8,24134.3,84109.2,3084.8
8/1/2017,2.77892659,118.8099774,370.3871859,1.34503154,-0.638234,21.74062848,132.3758273,72.384218,0.635783087,0.359797626,1.609650956,44.85016566,5.374119394,370.3871861,13.61145965,10.91,2448.6,79437.3,4240.8,23928.1,83860,3084.8
