Date,"Electric Power Sector Geothermal Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Conventional Hydroelectric Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Waste Biomass Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Large-Scale Solar Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Wind Net Summer Capacity, Monthly (megawatts)","Electric Power Sector Wood Biomass Net Summer Capacity, Monthly (megawatts)"
12/1/2020,2514,79790,4066.7,49180.6,120971.8,2888.8
11/1/2020,2489,79757.5,4064.7,45311.7,113336.6,2846.8
10/1/2020,2489,79757.5,4065.8,44607.8,112330.4,2846.8
9/1/2020,2489,79695,4065,43774.8,110940.4,2846.8
8/1/2020,2399.1,79702.5,4065,43176.8,109319.9,2846.8
7/1/2020,2399.1,79691.3,4065,43106.4,109096.5,2846.8
6/1/2020,2399.1,79580.3,4065,42556.4,108853.7,2846.8
5/1/2020,2399.1,79577.6,4129,39795.6,108653.7,2846.8
4/1/2020,2399.1,79569.6,4129,39434.1,108403.7,2846.8
3/1/2020,2399.1,79568.2,4131,38918.9,107844.5,2846.8
2/1/2020,2399.1,79440.4,4131,38436.9,107321.5,2846.8
1/1/2020,2399.1,79394.6,4131,38400.9,107002.7,2846.8
12/1/2019,2399.1,79410.5,4131,37320.3,106241.3,2846.8
11/1/2019,2399.1,79490.3,4103.5,35198.9,100822.5,2846.8
10/1/2019,2399.1,79477.3,4101.9,34873,100406.2,2846.8
9/1/2019,2399.1,79433.8,4101.9,34494,100129.8,2846.8
8/1/2019,2399.1,79482.7,4115.4,33714.1,99042.6,2936.1
7/1/2019,2399.1,79586.4,4117.2,33269.9,98269,2820.1
6/1/2019,2399.1,79587,4114.2,33039.3,97993.4,2820.1
5/1/2019,2399.1,79576.9,4131.7,32729.5,96749.3,2820.1
4/1/2019,2348,79606.4,4133.1,32668.3,96519.8,2835.1
3/1/2019,2391.2,79471.4,4133.1,32581.3,96441.8,2835.1
2/1/2019,2391.2,79500.4,4167.9,32364.5,95662.2,2918.1
1/1/2019,2391.2,79577.9,4167.9,32165.7,95196.2,2918.1
12/1/2018,2394.9,79582.8,4167.9,31510.2,94273.4,2965.2
11/1/2018,2392.2,79586.5,4167.9,30085.4,90389.8,2965.2
10/1/2018,2392.2,79464.5,4170.3,29553.5,90138.5,3020.2
9/1/2018,2392.2,79464.5,4171.4,29384.7,89801.2,3020.2
8/1/2018,2392.2,79464.5,4171.4,29071.7,89331.2,3020.2
7/1/2018,2392.2,79464.5,4175,28992.8,89249.2,3038.7
6/1/2018,2392.2,79466.7,4182.1,28854.4,89092.3,3038.7
5/1/2018,2392.2,79466.7,4207.7,28692.1,88943.3,3038.7
4/1/2018,2392.2,79505.7,4209.7,28265,88943.3,3038.7
3/1/2018,2392.2,79505.7,4209.7,27996.6,88643.3,3038.7
2/1/2018,2403.5,79505.7,4209.7,27472.1,88643.3,3038.7
1/1/2018,2403.5,79493.7,4232.1,27372.9,88418.8,3038.7
