,"Total Consumption of Electricity in United States, Monthly (billion kilowatthours)","Total Direct Use of Electricity in United States, Monthly (billion kilowatthours)"
2020-12-01,317.3769,12.49525
2020-11-01,289.8318,11.6808
2020-10-01,310.2466,11.58125
2020-09-01,328.5117,11.59258
2020-08-01,381.2228,12.47847
2020-07-01,378.2539,12.34091
2020-06-01,329.4575,11.60357
2020-05-01,301.8468,11.41582
2020-04-01,281.5266,11.09901
2020-03-01,306.6665,11.71396
2020-02-01,314.1877,11.08184
2020-01-01,337.3582,11.81908
2019-12-01,317.2833,11.81281
2019-11-01,288.8261,10.95137
2019-10-01,314.2259,10.73765
2019-09-01,342.82649922,11.005752245
2019-08-01,385.10475027,12.357504129
2019-07-01,382.91016919,12.601283046
2019-06-01,327.56782702,11.649518017
2019-05-01,303.43602587,11.476545093
2019-04-01,282.21355811,11.179724454
2019-03-01,309.3371708,11.839024306
2019-02-01,303.16143445,11.112666808
2019-01-01,335.90755534,12.608010979
2018-12-01,319.62219024,12.450732478
2018-11-01,297.57434048,12.031671113
2018-10-01,315.80650088,11.649003178
2018-09-01,343.74082382,11.859437419
2018-08-01,390.57755736,12.829628503
2018-07-01,382.28924674,12.660735265
2018-06-01,345.17301641,11.961216711
2018-05-01,309.72829276,11.684400439
2018-04-01,285.15640575,11.258247118
2018-03-01,303.8331267,11.571596985
2018-02-01,299.12931253,11.153926368
2018-01-01,352.87643743,12.46846334
2017-12-01,324.72753983,12.51175779
2017-11-01,294.80227881,11.45527827
2017-10-01,310.89210622,11.352627211
2017-09-01,332.9388612,11.2130511
2017-08-01,372.8204181,12.55779899
2017-07-01,380.37562991,12.76260824
2017-06-01,340.5497769,11.9671623
2017-05-01,303.34849287,11.47795522
2017-04-01,283.98884376,11.18768601
2017-03-01,303.08682956,11.643192505
2017-02-01,286.66949444,10.892358988
2017-01-01,330.27014453,12.09296546
2016-12-01,322.44805341,11.7258275
2016-11-01,288.58529682,11.26831644
2016-10-01,308.03052589,11.349855377
2016-09-01,348.4130217,11.6609355
2016-08-01,393.86528456,12.67295655
2016-07-01,384.73934367,12.56707574
2016-06-01,341.6372691,11.759364
2016-05-01,296.08694484,11.379303331
2016-04-01,280.41750462,10.88626734
2016-03-01,297.38803248,11.575673513
2016-02-01,307.88403697,11.07827376
