International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000fvu&c=00000000000000000000000000000000000000000008&ct=0&tl_id=2-A&vs=INTL.2-12-SWE-BKWH.A&cy=2016&vo=0&v=H&start=1980&end=2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Nov 14 2019 16:18:20 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Electricity,billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweden,billion Kwh,94.18,100.48,97.156,107.133,121.376,134.069,135.623,143.45,142.435,141.168,141.531,142.098,141.432,140.774,137.814,143.626,135.6186,144.716,154.111,150.33,141.29314,156.83374,142.1832,130.91358,148.42829,154.58129,140.43441,145.26544,146.36121,133.52426,145.75999,147.17455,163.04408,149.52682,150.25534,159.28872,152.88868,-
,Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweden,billion Kwh,25.331,35.978,37.261,39.056,48.51,55.812,66.884,64.341,65.591,62.808,64.776,72.923,60.367,58.325,69.498,66.438,70.56,66.432,69.904,69.529,54.45,68.504,64.705,64.044,75.17807,69.57669,65.05393,64.3338,61.33587,50.03894,55.73055,58.09843,61.474,63.7234,62.27,54.455,60.647,-
,Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweden,billion Kwh,58.873,59.912,55.358,64.207,68.906,71.849,62.072,72.878,71.023,73.112,73.789,64.537,75.692,76.19,60.864,69.945,53.5596,71.404,77.61,74.215,82.598,82.774,70.745,58.522,68.373,81.37,71.45,77.586,81.603,79.894,83.187,84.994,98.868,83.33,86.329,103.067,90.345,-
,Hydroelectricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
